customercode,routecode,routename,supervisorname,customername,regionmstname,Sales Apr2026,Sales Mar2026,Sales Feb2026,Sales Jan2026,Sales Dec,Sales Nov,Sales Oct,Sales Sep,Sales Aug,Sales Jul,Sales Jun,Sales May,Sales Apr,Sales Mar,Sales Feb,Sales jan,Last Transaction MonthYear,Months Bucket,Customer Status,Remarks,Updated By,Updated Date
520090044,52009,AUH BQ 7,Aaqib Zaheer,Every Day Discount Market LLC,ABUDHABI,0,0.0,4353.900000000001,2.4,1505.86,1375.1000000000004,4469.58,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Feb 2026,1–3 Months,,,,
520110062,52011,AUH BQ 3,Aaqib Zaheer,Blue City Grocery,ABUDHABI,0,0.0,0.0,55.6,163.6,3.6,213.65,232.4,283.2,612.4000000000001,251,417,277,244.4,105.2,263,Jan 2026,1–3 Months,,,,
520110112,52010,AUH BQ 8,Aaqib Zaheer,ALFARAH GENERAL TRADING-SOLE PROPRIETORSHIP L.L.C,ABUDHABI,0,0.0,4260.0,276.0,549.75,0.0,0.0,128.0,0.0,0.0,0,0,0,1440.0,1773.0,0,Feb 2026,1–3 Months,,,,
520110116,52010,AUH BQ 8,Aaqib Zaheer,The Cake Company,ABUDHABI,0,379.5,603.75,0.0,0.0,0.0,108.8,0.0,899.5999999999999,606.8,57,176,50,43.2,0.0,207,Mar 2026,1 Month,,,,
520120057,52012,AUH BQ 2,Aaqib Zaheer,Al Orobia Rostary -Soleproprietorship L.L.C,ABUDHABI,0,0.0,207.0,578.35,0.0,0.0,101.6,0.0,0.0,0.0,0,0,0,399.0,680.0,0,Feb 2026,1–3 Months,,,,
520130072,52013,AUH KA 3,AUH,Majid Al Futhaim Hyper Market,ABUDHABI,0,214.5,0.0,0.0,0.0,0.0,0.0,207.0,0.0,0.0,0,0,0,207.0,0.0,0,Mar 2026,1 Month,,,,
520130087,52013,AUH KA 3,AUH,Majid Al Futhaim Hypermarket LLC,ABUDHABI,0,0.0,0.0,904.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,790.15,0,Jan 2026,1–3 Months,,,,
520130097,52013,AUH KA 3,AUH,MAIR GROUP - P.J.S.C,ABUDHABI,0,0.0,0.0,449462.70000000007,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Jan 2026,1–3 Months,,,,
520140019,52010,AUH BQ 8,Aaqib Zaheer,FUTURE AMAL FOOD STUFF CATERING,ABUDHABI,0,3129.0,3589.44,1242.0,1846.8,1120.8000000000002,621.0,621.0,695.6,495.00000000000006,207,621,621,0.0,5175.0,1035,Mar 2026,1 Month,,,,
520150019,52015,ALN PM 1,NASEEM,QARIYYA AVENUE SHOPPING - L.L.C - S.P.C,ALAIN,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Mar 2026,1 Month,,,,
520150039,52015,ALN PM 1,NASEEM,AL Ain Flower Market LLC - Branch,ALAIN,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1048,1844,9178.509999999998,12786.65,1414,May 2025,7–12 Months,,,,
520150052,52015,ALN PM 1,NASEEM,Grandiose Supermarket,ALAIN,0,799.15,0.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,538,445.95,1798.65,0,Mar 2026,1 Month,,,,
520158888,52015,ALN PM 1,NASEEM,AR15 CASH CUSTOMER,ALAIN,0,0.0,0.0,0.0,0.0,0.0,151.00000000000003,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Oct 2025,4–6 Months,,,,
520170015,52010,AUH BQ 8,Aaqib Zaheer,TEA ROOM CAFETERIA,ABUDHABI,0,379.5,414.0,207.0,345.0,7.2,132.0,345.0,688.5,207.0,207,207,0,384.0,192.0,235,Mar 2026,1 Month,,,,
520170038,51003,DXB PM 2,Aaqib Zaheer,Talal S/M Jebel Ali,ABUDHABI,0,0.0,10350.0,257.1,0.0,215.7,0.0,389.6,449.69999999999993,0.0,427,291,0,328.29999999999995,0.0,395,Feb 2026,1–3 Months,,,,
520170049,52017,AUH BQ 4,Aaqib Zaheer,ROYAL DISCOUNTS CENTER L.L.C - BRANCH 1,ABUDHABI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,443,0,0,0.0,0.0,0,Jul 2025,7–12 Months,,,,
520170056,51053,DXB KA 4,Azam Shahzad,Carawan Supermarket (L.L.C),AL DHAID,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1035,1181.8,897.0,1319,Apr 2025,7–12 Months,,,,
520170058,52010,AUH BQ 8,Aaqib Zaheer,Labanese Roaster-Sole Proprietor Ship LLC,ABUDHABI,0,0.0,0.0,0.0,0.0,0.0,0.0,299.20000000000005,0.0,0.0,0,0,0,0.0,0.0,2,Sep 2025,7–12 Months,,,,
520170066,52017,AUH BQ 4,Aaqib Zaheer,NOOR AL SALEELA BAQALA,ABUDHABI,0,422.4,1238.4,2936.45,652.8,83.095,690.0,446.80000000000007,428.0,521.6,704,3226,1186,5205.95,2979.39,1106,Mar 2026,1 Month,,,,
520170074,52017,AUH BQ 4,Aaqib Zaheer,Omar Al Shamshi Foodstuff Tradading EST,ABUDHABI,0,14150.95,39216.74999999999,23637.5,10853.44,4029.35,508.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Mar 2026,1 Month,,,,
520170075,52017,AUH BQ 4,Aaqib Zaheer,Zee store International LLC,ABUDHABI,0,5410.0,22810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Mar 2026,1 Month,,,,
520180011,52015,ALN PM 1,NASEEM,WAHAT AL SULTHAN BAKERY&SUPER MARKET CO.LLC,ALAIN,0,306.25,0.0,254.35,256.0,0.0,414.8,368.09,89.6,316.85,421,272,259,170.1,719.3,375,Mar 2026,1 Month,,,,
520180013,52015,ALN PM 1,NASEEM,MAIR GROUP - P.J.S.C,ALAIN,0,0.0,0.0,0.0,0.0,1042.0549999999998,1272.96,1022.3,1317.65,991.51,1055,1342,1572,9229.0,6546.5,1748,Nov 2025,4–6 Months,,,,
520200002,52021,ALN BQ 4,NASEEM,WADI ALNOOR MODERN FOODSTUFF L.L.C,ALAIN,0,3340.0,5005.799999999999,11741.2,552.0,3599.2,2880.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Mar 2026,1 Month,,,,
520200008,52020,ALN BQ 2,NASEEM,Bait Byot express for Snacks,ALAIN,0,207.0,480.75,687.75,0.0,627.0,6.0,207.0,273.75,225.24,12,0,414,0.0,270.0,414,Mar 2026,1 Month,,,,
520208888,52020,ALN BQ 2,NASEEM,AR20 CASH CUSTOMER,ALAIN,0,0.0,1868.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,Feb 2026,1–3 Months,,,,
520210008,52021,ALN BQ 4,NASEEM,Eastern Gulf Food Stuff Trading Company LLC,ALAIN,0,0.0,768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,0,0,0.0,0.0,0,Feb 2026,1–3 Months,,,,
520220019,52022,AUH KA 2,AUH,Select Market L.L.C- Branch,ABUDHABI,0,0.0,0.0,297.1,462.6,333.91,667.1,536.75,2160.2,876.6,1078,479,1936,797.1,1340.91,540,Jan 2026,1–3 Months,,,,
5202307,52001,AUH BQ 6,Aaqib Zaheer,BAQALA SAJEES- SOLE PROPRIETORSHIP,ABUDHABI,0,0.0,0.0,0.0,0.0,0.0,0.0,235.2,75.69999999999999,99.55,30,28,170,0.0,0.0,35,Sep 2025,7–12 Months,,,,
5202340,52011,AUH BQ 3,Aaqib Zaheer,FRESHCO TRADING L.L.C. - BRANCH,ABUDHABI,0,0.0,3429.9,0.0,334.79999999999995,0.0,0.0,0.0,0.0,0.0,0,0,457,3032.76,4573.8,0,Feb 2026,1–3 Months,,,,
5202457,52007,AUH BQ 1,Aaqib Zaheer,STAR FOUR GROCERY,ABUDHABI,0,0.0,0.0,0.0,439.2,0.0,0.0,458.4,303.2,509.68000000000006,398,341,0,336.0,489.12000000000006,470,Dec 2025,4–6 Months,,,,
